row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,match,image_id,image_locality,image_title,image_dates,image_series,date_agrees,annotazioni
750,938,Italia,"Ferrara, frazione di Sant'Egidio",Madonna del Poggetto,15-9-1901,#,no,#,,,,,,,,Frate Anselmo: la colloca a S. Egidio. ERR - Frate Anselmo: data l'incoronazione 10 gennaio 1897.
751,964,Italia,"Capranica Prenestina, frazione di Guadagnolo",Santa Maria della Mentorella,29-9-1901,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con la data dell'incoronazione e la colloca a Tivoli.
752,937,Italia,Bologna,Madonna del Sacro Cuore di Gesù,24-11-1901,Capitolo,sì,1,,,,,,,,
753,772,Cile,Andacollo,Nostra Signora del Rosario de Andacollo,26-12-1901,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: scambia la data del decreto con quello dell'incoronazione.
754,1000,Italia,"Recco, frazione di Megli",Madonna delle Grazie,8-6-1902,Capitolo,sì,1,,,,,,,,
755,884,Italia,Avellino,Madonna delle Grazie,1-7-1902,Capitolo,sì,1,,,,,,,,Frate Anselmo: indica che è dei PP. Cappucini
756,1022,Italia,Treviglio,Madonna delle Lacrime,10-8-1902,#,no,#,,,,,,,,"ERR - Frate Anselmo: riporta questa incoronazione, ma è il giorno in cui fu inaugurata la nuova fabbrica. Nessun riferimento in internet."
757,1224,Svizzera,Friburgo,Nostra Signora di Friburgo,21-8-1902,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita.
758,965,Italia,Civitavecchia,Madonna delle Grazie,8-9-1902,Capitolo,sì,1,,,,,,,,
759,952,Italia,Arpino,Madonna di Loreto,8-9-1902,Capitolo,sì,1,,,,,,,,
760,766,Argentina,Salta,Nostra Signora del Miracolo,13-9-1902,B.P.,sì,1,,,,,,,,ERR - Frate Anselmo: data l'incoronazione 26 luglio 1899.
761,961,Italia,Lenola,Madonna del Colle,15-9-1902,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 15 settembre 1902. Nessun riferimento in internet.
762,752,Messico,Leon,Nostra Signora della Luce,8-10-1902,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: non la cita
763,982,Italia,Roma,Santa Maria Avvocata Nostra,19-10-1902,#,no,#,,,,,,,,Frate Anselmo: data l'incoronazione 19 ottobre 1902. Nessun riferimento in internet.
764,1073,Italia,Torino,Santa Maria Ausiliatrice,17-5-1903,B.P.,sì,1,place+title+year,maria-ausiliatrice-turin,Turin,Maria Ausiliatrice,1903-05-27,AAS+ASS,yes,
765,1100,Italia,Lucca,Madonna della Misericordia,17-5-1903,Capitolo,sì,1,,,,,,,,
766,1085,Italia,Sambuca di Sicilia,Maria Santissima dell'Udienza,17-5-1903,Capitolo,sì,1,,,,,,,,ERR - Frate Anselmo: la colloca a Sambuca Zabut.
767,975,Italia,Roma,Santissimo Nome di Maria,24-5-1903,Capitolo,sì,2,church+title,santa-maria-nella-chiesa-del-nome-di-maria-rome,"Rome, Santissimo Nome di Maria",Santa Maria nella Chiesa del Nome di Maria,1703,ACSP+LIT,no,
768,812,Francia,Dunkerque,Nostra Signora delle Dune,1-6-1903,B.P.,sì,1,place+title+year,notre-dame-des-dunes-dunkerque-dunkirk,Dunkerque (Dunkirk),Notre-Dame des Dunes,1903,ASS,yes,ERR - Frate Anselmo: data l'incoronazione 25 aprile 1903.
