row,id,nation,localita,titolo,data_incoronazione,autorizza,data_verificata,incoronazione,taken,why_not,image_id,image_locality,image_title,image_dates,other_sources,date_agrees,rome_alignment,annotazioni
47,93,Italia,Roma,Madonna delle Grazie,2-7-1651,Capitolo,sì,1,yes,,santa-maria-in-s-paolino-alla-regola-rome-san-pa,"Rome, San Paolino alla Regola",Santa Maria in S. Paolino alla Regola,1651-07-02,Bombelli; Briccolani,yes,AUTO,Bombelli: corona alla Madonna e al Bambino.
48,141,Italia,Roma,Santa Maria in Campitelli,2-7-1651,Capitolo,sì,1,yes,,santa-maria-nell-oratorio-di-campitelli-rome-ora,"Rome, Oratorio di Campitelli",Santa Maria nell'Oratorio di Campitelli,1651-07-02,Briccolani,yes,PICK,Bombelli: la titola Madonna nell'Oratorio del Collegio de' PP. di Campitelli Briccolani: la titola Santa Maria nell'Oratorio in Campitelli.
49,42,Italia,Roma,Madonna della Salute,#-#-1651,Capitolo,sì,1,yes,,santa-maria-in-s-cosma-e-damiano-in-campo-vaccin,"Rome, Santi Cosma e Damiano","Santa Maria in S. Cosma, e Damiano in Campo Vaccino",1651,Briccolani,yes,AUTO,ERR - Frate Anselmo: riporta come data di incoronazione la data del decreto; titola Madonna in SS. Cosma e Damiano in Campo Vaccino. Bombelli: corona alla Madonna e al Bambino.
50,105,Italia,Roma,Madonna del Pianto,#-#-1651,Capitolo,sì,1,yes,,santa-maria-del-pianto-rome-santa-maria-del-pian,"Rome, Santa Maria del Pianto",Santa Maria del Pianto,1643-05-20,Briccolani,yes,PICK,
51,112,Italia,Roma,Madonna della Purità,#-#-1651,Capitolo,sì,1,yes,,santa-maria-della-purita-in-borgo-rome-santa-mar,"Rome, Santa Maria della Purità in Borgo",Santa Maria della Purità in Borgo,1646-04-16,Bombelli; Briccolani,yes,PICK,
52,125,Italia,Roma,Madonna del Carmine,#-#-1651,Capitolo,sì,1,yes,,santa-maria-in-traspontina-rome-santa-maria-in-t,"Rome, Santa Maria in Traspontina",Santa Maria in Traspontina,1641-06-15; 1928-07-16,Bombelli; Briccolani,yes,PICK,
53,135,Italia,Roma,Santa Maria Liberatrice,7-1-1652,Capitolo,sì,1,yes,,santa-maria-nella-chiesa-di-s-anna-alli-falegnam,"Rome, Sant'Anna dei Falegnami",Santa Maria nella Chiesa di S. Anna alli Falegnami,1652-01-07,Bombelli; Briccolani,yes,PICK,
54,186,Italia,Avigliana,Madonna dei Laghi,14-4-1652,#,no,#,no,petition refused or crowning uncertain (incoronazione #),,,,,,,,"Briccolani: non la cita. ERR - Frate Anselmo: riporta questa incoronazione, ma non fu decretata dal Capitolo Vaticano."
55,52,Italia,Roma,Madonna della Rotonda,8-9-1652,Capitolo,sì,1,yes,,santa-maria-ad-martires-detta-la-rotonda-rome-pa,"Rome, Pantheon (Santa Maria ad Martyres)","Santa Maria ad Martires, detta la Rotonda",1652-09-08,Bombelli; Briccolani,yes,AUTO,ERR - Frate Anselmo: data l'incoronazione 20 luglio 1652.
56,123,Italia,Roma,Santa Maria in Posterula,20-7-1653,Capitolo,sì,1,yes,,santa-maria-in-posterola-all-orso-rome-santa-mar,"Rome, Santa Maria in Posterula",Santa Maria in Posterola all'Orso,1653-07-20,Briccolani,yes,PICK,
57,128,Italia,Roma,Madonna Liberatrice,4-8-1653,Capitolo,sì,1,yes,,santa-maria-liberatrice-in-campo-vaccino-rome-sa,"Rome, Santa Maria Liberatrice",Santa Maria Liberatrice in Campo Vaccino,1653-08-04,Briccolani,yes,PICK,"ERR - Frate Anselmo: riporta come data di incoronazione la data del decreto; la colloca nella chiesa di Santa Maria Liberatrice in Campo Vaccino, già demolita."
58,66,Italia,Roma,Madonna nel Portico,15-8-1653,Capitolo,sì,1,yes,,santa-maria-nel-portico-di-s-apollinare-rome-san,"Rome, Sant'Apollinare (portico)",Santa Maria nel Portico di S. Apollinare,1653-08-15,Briccolani,yes,AUTO,Bombelli: corona alla Madonna e al Bambino.
59,157,Italia,Ceranesi,Santa Maria della Guardia,31-5-1654,#,no,#,no,petition refused or crowning uncertain (incoronazione #),,,,,,,,Briccolani: non la cita. Frate Anselmo: non la cita.
60,75,Italia,Roma,Madonna Ausiliatrice,21-7-1654,Capitolo,sì,1,yes,,santa-maria-nella-chiesa-della-trinita-de-pelleg,"Rome, Santissima Trinità dei Pellegrini",Santa Maria nella Chiesa della Trinità de' Pellegrini,1654-06-21,Bombelli; Briccolani,yes,AUTO,ERR - Frate Anselmo: la titola Santa Maria di Strada di Valle. ERR - Bombelli: erra la data (1954).
61,62,Italia,Roma,Madonna del Rosario,15-12-1654,Capitolo,sì,1,yes,,santa-maria-del-rosario-nella-chiesa-di-santa-ma,"Rome, Santa Maria sopra Minerva",Santa Maria del Rosario nella Chiesa di Santa Maria,1640-12-06; 1644-08-28,Bombelli; Briccolani,yes,PICK,
62,97,Italia,Roma,Madonna delle Grazie,15-12-1654,Capitolo,sì,1,yes,,santa-maria-delle-grazie-in-s-salvator-in-lauro,"Rome, San Salvatore in Lauro",Santa Maria delle Grazie in S. Salvator in Lauro,1654-12-15,Bombelli; Briccolani,yes,AUTO,
63,136,Italia,Roma,Madonna in Santo Spirito in Sassia,5-4-1655,Capitolo,sì,1,yes,,santa-maria-in-s-spirito-in-sassia-rome-santo-sp,"Rome, Santo Spirito in Sassia",Santa Maria in S. Spirito in Sassia,1655-04-05,Briccolani,yes,AUTO,
64,107,Italia,Roma,Madonna Advocata,2-7-1655,Capitolo,sì,1,yes,,santa-maria-nella-chiesa-delle-monache-di-campo,"Rome, Santa Maria in Campo Marzio (nuns)",Santa Maria nella Chiesa delle Monache di Campo Marzo,1655-07-02,Bombelli; Briccolani,yes,PICK,Frate Anselmo: la titola Madonna delle Monache.
65,63,Italia,Roma,Madonna di Santa Prassede,16-8-1655,Capitolo,sì,1,yes,,santa-maria-in-s-prasede-rome-santa-prassede,"Rome, Santa Prassede",Santa Maria in S. Prasede,1655-08-16,Bombelli; Briccolani,yes,PICK,
66,120,Italia,Roma,Madonna di Monserrato,8-4-1656,Capitolo,sì,1,yes,,santa-maria-di-monserrato-rome-santa-maria-di-mo,"Rome, Santa Maria di Monserrato",Santa Maria di Monserrato,1656-04-08,Bombelli; Briccolani,yes,AUTO,Bombelli: corona alla Madonna e al Bambino.
67,118,Italia,Roma,Madonna dell'Orto,19-8-1657,Capitolo,sì,1,yes,,santa-maria-dell-orto-in-trastevere-rome-santa-m,"Rome, Santa Maria dell'Orto",Santa Maria dell'Orto in Trastevere,1657-08-19,Bombelli; Briccolani,yes,PICK,Bombelli: corona alla Madonna e al Bambino.
68,95,Italia,Roma,Mater Divinae Gratiae,21-1-1658,Capitolo,sì,1,yes,,santa-maria-nella-chiesa-di-s-rocco-a-ripetta-ro,"Rome, San Rocco a Ripetta",Santa Maria nella Chiesa di S. Rocco a Ripetta,1658-01-21,Bombelli; Briccolani,yes,AUTO,
69,88,Italia,Roma,Madonna di San Gregorio,14-9-1658,Capitolo,sì,1,yes,,santa-maria-nella-cappella-salviati-in-s-gregori,"Rome, San Gregorio al Celio (Cappella Salviati)",Santa Maria nella Cappella Salviati in S. Gregorio al Monte Celio,1658-09-14,Bombelli; Briccolani,yes,AUTO,
70,147,Italia,Roma,Madonna del Sole,7-12-1658,Capitolo,sì,1,yes,,santa-maria-nell-oratorio-di-s-marcello-rome-ora,"Rome, Oratorio del Crocifisso di San Marcello",Santa Maria nell'Oratorio di S. Marcello,1658-12-07,Briccolani,yes,AUTO,ERR - Frate Anselmo: data l'incoronazione 16 gennaio 1658 e nell'Oratorio di San Marcello.
71,43,Italia,Roma,Madonna del Carmine,20-1-1659,Capitolo,sì,1,yes,,santa-maria-in-s-martino-a-monti-rome-san-martin,"Rome, San Martino ai Monti",Santa Maria in S. Martino a' Monti,1659-01-20,Bombelli; Briccolani,yes,AUTO,Bombelli: corona alla Madonna e al Bambino.
72,59,Italia,Roma,Madonna della Clemenza,2-11-1659,Capitolo,sì,1,yes,,santa-maria-della-clemenza-in-santa-maria-in-tra,"Rome, Santa Maria in Trastevere (Madonna della Clemenza)",Santa Maria della Clemenza in Santa Maria in Trastevere,1659-11-02,Bombelli; Briccolani,yes,PICK,
73,57,Italia,Roma,Madonna di Monte Santo,3-12-1659,Capitolo,sì,1,yes,,santa-maria-di-monte-santo-sulla-piazza-del-popo,"Rome, Santa Maria di Montesanto",Santa Maria di Monte Santo sulla piazza del Popolo,1659-12-03,Briccolani,yes,PICK,Bombelli: corona alla Madonna e al Bambino.
74,84,Italia,Roma,Madonna dei Miracoli,5-12-1659,Capitolo,sì,1,yes,,santa-maria-nella-chiesa-di-s-giacomo-degl-incur,"Rome, San Giacomo degli Incurabili",Santa Maria nella Chiesa di S. Giacomo degl'Incurabili,1659-12-05,Briccolani,yes,AUTO,Bombelli: corona alla Madonna e al Bambino. Frate Anselmo: la colloca nell'Ospedale di San Giacomo degli Incurabili; la titola Madonna di San Giacomo.
75,31,Italia,Fontanellato,Santa Maria del Rosario,18-8-1660,#,no,#,no,petition refused or crowning uncertain (incoronazione #),,,,,,,,Briccolani: non la cita. ERR - Frate Anselmo: data l'incoronazione 15 agosto 1660.
